Difficulty,wasSolved,NakedSingles,HiddenSingles,NakedSubsets_Size2,HiddenSubsets_Size2,BlockLine-Interactions,NakedSubsets_Size3,HiddenSubsets_Size3,NakedSubsets_Size4,HiddenSubsets_Size4,XWing,GivenCount,AnzStartPos1,AnzStartPos2,AnzStartPos3,AnzStartPos4,AnzStartPos5,AnzStartPos6,AnzStartPos7,AnzStartPos8,AnzStartPos9,AnzPossibilities,wasBacktracked
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 7, 8, 0, 1, 6, 11, 5, 6, 11, 112, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 4, 5, 0, 1, 9, 5, 2, 3, 135, 0
0, 43, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 1, 6, 7, 5, 6, 1, 7, 4, 124, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 8, 2, 2, 2, 6, 3, 0, 4, 3, 140, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 3, 1, 7, 3, 3, 12, 5, 2, 113, 0
0, 41, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 1, 2, 3, 3, 3, 1, 6, 6, 122, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 3, 4, 3, 0, 3, 7, 3, 3, 131, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 2, 5, 3, 6, 4, 7, 2, 4, 135, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 6, 10, 2, 7, 10, 5, 6, 4, 9, 113, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 5, 9, 3, 3, 1, 5, 6, 4, 3, 139, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 6, 4, 0, 3, 3, 2, 2, 4, 139, 0
0, 37, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 4, 0, 1, 3, 1, 4, 0, 4, 138, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 5, 4, 4, 6, 8, 8, 4, 10, 132, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 3, 4, 2, 5, 6, 4, 1, 1, 126, 0
0, 47, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 1, 1, 0, 1, 3, 4, 5, 159, 0
0, 42, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 1, 0, 3, 1, 1, 2, 1, 8, 139, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 7, 4, 4, 13, 6, 4, 11, 7, 7, 115, 0
0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 3, 2, 2, 4, 11, 4, 3, 2, 149, 0
0, 38, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 1, 3, 2, 2, 2, 0, 2, 1, 137, 0
0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 1, 0, 1, 1, 1, 5, 2, 2, 0, 161, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 1, 6, 0, 1, 1, 1, 0, 0, 3, 125, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 2, 3, 2, 6, 1, 2, 0, 4, 140, 0
0, 43, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 1, 0, 4, 4, 3, 4, 0, 1, 2, 136, 0
0, 43, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 0, 3, 8, 2, 0, 4, 0, 5, 135, 0
0, 45, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 2, 6, 4, 2, 3, 3, 3, 0, 1, 143, 0
0, 44, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 1, 0, 3, 4, 1, 4, 1, 4, 1, 139, 0
0, 41, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 4, 8, 0, 3, 1, 0, 2, 6, 122, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 2, 1, 4, 9, 3, 3, 4, 2, 128, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 4, 3, 2, 4, 4, 2, 7, 6, 125, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 2, 7, 4, 10, 6, 7, 7, 1, 1, 137, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 2, 6, 3, 0, 3, 9, 4, 2, 5, 150, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 2, 0, 2, 5, 0, 6, 1, 2, 141, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4, 8, 4, 4, 5, 3, 6, 1, 8, 129, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 4, 0, 5, 1, 2, 8, 2, 2, 5, 138, 0
0, 41, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 6, 0, 4, 1, 2, 0, 0, 2, 131, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 14, 5, 7, 4, 6, 6, 4, 0, 9, 125, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 6, 5, 4, 3, 9, 4, 2, 7, 8, 127, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 3, 9, 6, 2, 11, 6, 2, 9, 113, 0
0, 44, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 3, 0, 6, 4, 5, 3, 168, 0
0, 45, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 2, 2, 1, 4, 2, 2, 3, 1, 134, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 5, 1, 5, 6, 4, 1, 2, 3, 3, 134, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 5, 6, 2, 0, 8, 4, 3, 8, 6, 134, 0
0, 41, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 0, 6, 7, 6, 14, 5, 1, 3, 125, 0
0, 43, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 4, 5, 0, 1, 3, 3, 3, 3, 1, 149, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 3, 4, 3, 3, 1, 4, 3, 3, 9, 121, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 2, 3, 2, 5, 5, 4, 5, 7, 141, 0
0, 45, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 5, 2, 0, 0, 5, 1, 3, 2, 145, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 2, 1, 1, 8, 10, 4, 5, 5, 3, 127, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 3, 3, 3, 5, 4, 2, 8, 2, 1, 132, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 6, 5, 8, 2, 3, 1, 7, 5, 2, 129, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 10, 7, 5, 3, 2, 4, 6, 5, 7, 116, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 2, 0, 1, 4, 7, 0, 4, 2, 147, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 6, 5, 4, 5, 0, 2, 1, 2, 3, 143, 0
0, 40, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 3, 7, 2, 1, 6, 4, 1, 2, 0, 150, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 3, 9, 10, 4, 7, 9, 8, 2, 6, 119, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 3, 3, 0, 7, 7, 1, 6, 2, 6, 122, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 5, 0, 1, 3, 7, 4, 4, 6, 2, 130, 0
0, 45, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 5, 0, 3, 4, 5, 5, 7, 0, 3, 137, 0
0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 4, 7, 7, 1, 2, 1, 0, 6, 6, 148, 0
0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 3, 1, 5, 4, 0, 0, 3, 0, 152, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 9, 4, 5, 4, 3, 5, 4, 7, 114, 0
0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 3, 2, 6, 3, 0, 0, 1, 165, 0
0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 1, 0, 0, 4, 3, 6, 3, 1, 151, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 6, 6, 3, 2, 5, 7, 5, 2, 1, 135, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 3, 8, 2, 5, 4, 7, 4, 8, 120, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 2, 1, 3, 4, 2, 3, 2, 2, 4, 136, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 7, 3, 1, 2, 0, 1, 7, 3, 2, 134, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 1, 3, 4, 1, 5, 0, 3, 3, 0, 134, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 11, 0, 5, 4, 5, 5, 4, 1, 7, 120, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 0, 6, 2, 6, 5, 5, 9, 10, 124, 0
0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 1, 6, 2, 5, 0, 5, 7, 6, 5, 136, 0
0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 6, 2, 1, 4, 0, 0, 2, 3, 187, 0
0, 40, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 4, 2, 6, 0, 0, 2, 2, 1, 159, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 7, 11, 3, 7, 3, 7, 3, 1, 5, 120, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 13, 4, 9, 5, 5, 4, 3, 9, 119, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 4, 2, 2, 4, 0, 0, 4, 6, 135, 0
0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 5, 2, 2, 1, 0, 4, 3, 1, 173, 0
0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 6, 6, 2, 5, 5, 1, 4, 6, 120, 0
0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 5, 3, 1, 7, 5, 7, 4, 3, 7, 131, 0
0, 45, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 3, 3, 6, 1, 1, 1, 0, 2, 1, 131, 0
0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 4, 1, 4, 2, 4, 2, 0, 1, 3, 147, 0
